geography,name,county,total,percent
36059304002,"Census Tract 3040.02, Nassau County, New York",Nassau,4905,7.90
36059304100,"Census Tract 3041, Nassau County, New York",Nassau,4380,4.80
36059304202,"Census Tract 3042.02, Nassau County, New York",Nassau,3302,6.60
36059304203,"Census Tract 3042.03, Nassau County, New York",Nassau,5679,11.40
36059304204,"Census Tract 3042.04, Nassau County, New York",Nassau,5632,7.70
36059404300,"Census Tract 4043, Nassau County, New York",Nassau,3314,2.20
36059404400,"Census Tract 4044, Nassau County, New York",Nassau,5257,0.50
36059404500,"Census Tract 4045, Nassau County, New York",Nassau,3922,4.20
36059404600,"Census Tract 4046, Nassau County, New York",Nassau,4343,2.10
36059404700,"Census Tract 4047, Nassau County, New York",Nassau,5990,4.40
36059404800,"Census Tract 4048, Nassau County, New York",Nassau,5645,3.20
36059404901,"Census Tract 4049.01, Nassau County, New York",Nassau,5052,2.30
36059404902,"Census Tract 4049.02, Nassau County, New York",Nassau,5507,12.70
36059405000,"Census Tract 4050, Nassau County, New York",Nassau,5775,7.20
36059405100,"Census Tract 4051, Nassau County, New York",Nassau,8651,6.80
36059405200,"Census Tract 4052, Nassau County, New York",Nassau,7142,5.80
36059405301,"Census Tract 4053.01, Nassau County, New York",Nassau,3374,6.10
36059405302,"Census Tract 4053.02, Nassau County, New York",Nassau,5025,4.80
36059405400,"Census Tract 4054, Nassau County, New York",Nassau,8797,4.70
36059405500,"Census Tract 4055, Nassau County, New York",Nassau,5297,2.90
36059405600,"Census Tract 4056, Nassau County, New York",Nassau,4052,3.70
36059405700,"Census Tract 4057, Nassau County, New York",Nassau,4833,2.60
36059405800,"Census Tract 4058, Nassau County, New York",Nassau,4254,7.10
36059405900,"Census Tract 4059, Nassau County, New York",Nassau,5189,1.30
36059406001,"Census Tract 4060.01, Nassau County, New York",Nassau,5127,7.30
36059406002,"Census Tract 4060.02, Nassau County, New York",Nassau,3317,13.80
36059406100,"Census Tract 4061, Nassau County, New York",Nassau,2693,4.60
36059406201,"Census Tract 4062.01, Nassau County, New York",Nassau,3431,2.30
36059406202,"Census Tract 4062.02, Nassau County, New York",Nassau,5635,10.20
36059406300,"Census Tract 4063, Nassau County, New York",Nassau,3855,1.50
36059406400,"Census Tract 4064, Nassau County, New York",Nassau,6568,4.20
36059406501,"Census Tract 4065.01, Nassau County, New York",Nassau,6831,2.00
36059406600,"Census Tract 4066, Nassau County, New York",Nassau,4123,3.90
36059406701,"Census Tract 4067.01, Nassau County, New York",Nassau,2496,15.20
36059406702,"Census Tract 4067.02, Nassau County, New York",Nassau,4762,36.50
36059406801,"Census Tract 4068.01, Nassau County, New York",Nassau,4670,20.30
36059406802,"Census Tract 4068.02, Nassau County, New York",Nassau,5028,15.30
36059406900,"Census Tract 4069, Nassau County, New York",Nassau,7647,19.00
36059407000,"Census Tract 4070, Nassau County, New York",Nassau,7086,13.20
36059407101,"Census Tract 4071.01, Nassau County, New York",Nassau,4525,13.10
36059407102,"Census Tract 4071.02, Nassau County, New York",Nassau,6849,3.10
36059407201,"Census Tract 4072.01, Nassau County, New York",Nassau,4800,31.90
36059407203,"Census Tract 4072.03, Nassau County, New York",Nassau,3873,20.90
36059407204,"Census Tract 4072.04, Nassau County, New York",Nassau,2434,10.60
36059407301,"Census Tract 4073.01, Nassau County, New York",Nassau,3486,7.70
36059407302,"Census Tract 4073.02, Nassau County, New York",Nassau,5167,15.70
36059407401,"Census Tract 4074.01, Nassau County, New York",Nassau,5573,11.60
36059407402,"Census Tract 4074.02, Nassau County, New York",Nassau,3410,12.70
36059407501,"Census Tract 4075.01, Nassau County, New York",Nassau,4872,16.50
36059407502,"Census Tract 4075.02, Nassau County, New York",Nassau,5640,4.10
36059407600,"Census Tract 4076, Nassau County, New York",Nassau,5538,1.50
36059407700,"Census Tract 4077, Nassau County, New York",Nassau,5001,5.30
36059407801,"Census Tract 4078.01, Nassau County, New York",Nassau,5540,2.10
36059407802,"Census Tract 4078.02, Nassau County, New York",Nassau,428,4.90
36059407900,"Census Tract 4079, Nassau County, New York",Nassau,5798,7.90
36059408000,"Census Tract 4080, Nassau County, New York",Nassau,6116,1.30
36059408100,"Census Tract 4081, Nassau County, New York",Nassau,6712,7.90
36059408200,"Census Tract 4082, Nassau County, New York",Nassau,6774,5.10
36059408300,"Census Tract 4083, Nassau County, New York",Nassau,6874,3.70
36059408400,"Census Tract 4084, Nassau County, New York",Nassau,3899,1.60
36059408500,"Census Tract 4085, Nassau County, New York",Nassau,6677,4.80
36059408600,"Census Tract 4086, Nassau County, New York",Nassau,4396,1.90
36059408700,"Census Tract 4087, Nassau County, New York",Nassau,4899,7.30
36059408800,"Census Tract 4088, Nassau County, New York",Nassau,6745,2.90
36059408900,"Census Tract 4089, Nassau County, New York",Nassau,5910,3.00
36059409000,"Census Tract 4090, Nassau County, New York",Nassau,5853,1.90
36059409100,"Census Tract 4091, Nassau County, New York",Nassau,4919,1.20
36059409200,"Census Tract 4092, Nassau County, New York",Nassau,5875,15.90
36059409300,"Census Tract 4093, Nassau County, New York",Nassau,4114,2.30
36059409400,"Census Tract 4094, Nassau County, New York",Nassau,4356,4.70
36059409500,"Census Tract 4095, Nassau County, New York",Nassau,4021,7.40
36059409600,"Census Tract 4096, Nassau County, New York",Nassau,5190,2.80
36059409700,"Census Tract 4097, Nassau County, New York",Nassau,4188,2.40
36059409800,"Census Tract 4098, Nassau County, New York",Nassau,5812,3.50
36059409900,"Census Tract 4099, Nassau County, New York",Nassau,8412,4.80
36059410000,"Census Tract 4100, Nassau County, New York",Nassau,4319,1.30
36059410100,"Census Tract 4101, Nassau County, New York",Nassau,5825,1.50
36059410200,"Census Tract 4102, Nassau County, New York",Nassau,3662,1.60
36059410300,"Census Tract 4103, Nassau County, New York",Nassau,6642,3.40
36059410400,"Census Tract 4104, Nassau County, New York",Nassau,4610,4.90
36059410500,"Census Tract 4105, Nassau County, New York",Nassau,7183,2.50
36059410600,"Census Tract 4106, Nassau County, New York",Nassau,7155,7.70
36059410700,"Census Tract 4107, Nassau County, New York",Nassau,7159,1.60
36059410800,"Census Tract 4108, Nassau County, New York",Nassau,4611,3.00
36059410900,"Census Tract 4109, Nassau County, New York",Nassau,6510,9.10
36059411000,"Census Tract 4110, Nassau County, New York",Nassau,5412,10.40
36059411100,"Census Tract 4111, Nassau County, New York",Nassau,4379,24.10
36059411200,"Census Tract 4112, Nassau County, New York",Nassau,6641,3.10
36059411301,"Census Tract 4113.01, Nassau County, New York",Nassau,3813,2.70
36059411302,"Census Tract 4113.02, Nassau County, New York",Nassau,6624,1.80
36059411400,"Census Tract 4114, Nassau County, New York",Nassau,6363,2.70
36059411500,"Census Tract 4115, Nassau County, New York",Nassau,2750,1.90
36059411600,"Census Tract 4116, Nassau County, New York",Nassau,6517,3.70
36059411700,"Census Tract 4117, Nassau County, New York",Nassau,7064,9.00
36059411800,"Census Tract 4118, Nassau County, New York",Nassau,6144,3.30
36059411901,"Census Tract 4119.01, Nassau County, New York",Nassau,3441,6.00
36059411902,"Census Tract 4119.02, Nassau County, New York",Nassau,4039,3.30
36059412000,"Census Tract 4120, Nassau County, New York",Nassau,5786,1.20
36059412100,"Census Tract 4121, Nassau County, New York",Nassau,6171,5.60
36059412200,"Census Tract 4122, Nassau County, New York",Nassau,4905,8.20
36059412301,"Census Tract 4123.01, Nassau County, New York",Nassau,3281,8.90
36059412302,"Census Tract 4123.02, Nassau County, New York",Nassau,3613,3.70
36059412400,"Census Tract 4124, Nassau County, New York",Nassau,5646,12.60
36059412500,"Census Tract 4125, Nassau County, New York",Nassau,3855,0.20
36059412600,"Census Tract 4126, Nassau County, New York",Nassau,3760,1.40
36059412700,"Census Tract 4127, Nassau County, New York",Nassau,4159,5.00
36059412800,"Census Tract 4128, Nassau County, New York",Nassau,3120,2.20
36059412900,"Census Tract 4129, Nassau County, New York",Nassau,6132,1.50
36059413001,"Census Tract 4130.01, Nassau County, New York",Nassau,3368,6.70
36059413002,"Census Tract 4130.02, Nassau County, New York",Nassau,4010,4.20
36059413100,"Census Tract 4131, Nassau County, New York",Nassau,5030,2.20
36059413200,"Census Tract 4132, Nassau County, New York",Nassau,5720,2.10
36059413300,"Census Tract 4133, Nassau County, New York",Nassau,6038,1.50
36059413400,"Census Tract 4134, Nassau County, New York",Nassau,5346,1.80
36059413500,"Census Tract 4135, Nassau County, New York",Nassau,7451,4.30
36059413600,"Census Tract 4136, Nassau County, New York",Nassau,6065,5.20
36059413700,"Census Tract 4137, Nassau County, New York",Nassau,5238,1.90
36059413803,"Census Tract 4138.03, Nassau County, New York",Nassau,4128,6.40
36059413804,"Census Tract 4138.04, Nassau County, New York",Nassau,3846,4.50
36059413900,"Census Tract 4139, Nassau County, New York",Nassau,7491,14.50
36059414001,"Census Tract 4140.01, Nassau County, New York",Nassau,4323,3.10
36059414002,"Census Tract 4140.02, Nassau County, New York",Nassau,4598,10.20
36059414100,"Census Tract 4141, Nassau County, New York",Nassau,6801,5.80
36059414201,"Census Tract 4142.01, Nassau County, New York",Nassau,5336,4.90
36059414202,"Census Tract 4142.02, Nassau County, New York",Nassau,3914,18.10
36059414301,"Census Tract 4143.01, Nassau County, New York",Nassau,3622,7.00
36059414303,"Census Tract 4143.03, Nassau County, New York",Nassau,5183,1.90
36059414304,"Census Tract 4143.04, Nassau County, New York",Nassau,3112,13.60
36059414400,"Census Tract 4144, Nassau County, New York",Nassau,5107,15.90
36059414501,"Census Tract 4145.01, Nassau County, New York",Nassau,5728,6.20
36059414502,"Census Tract 4145.02, Nassau County, New York",Nassau,3810,3.10
36059414600,"Census Tract 4146, Nassau County, New York",Nassau,3553,3.80
36059414700,"Census Tract 4147, Nassau County, New York",Nassau,4502,5.20
36059414800,"Census Tract 4148, Nassau County, New York",Nassau,7065,4.60
36059414900,"Census Tract 4149, Nassau County, New York",Nassau,7588,1.70
36059415000,"Census Tract 4150, Nassau County, New York",Nassau,5645,3.50
36059415101,"Census Tract 4151.01, Nassau County, New York",Nassau,2412,3.40
36059415102,"Census Tract 4151.02, Nassau County, New York",Nassau,5061,2.10
36059415201,"Census Tract 4152.01, Nassau County, New York",Nassau,3244,1.70
36059415202,"Census Tract 4152.02, Nassau County, New York",Nassau,4183,0.60
36059415300,"Census Tract 4153, Nassau County, New York",Nassau,6360,1.90
36059415401,"Census Tract 4154.01, Nassau County, New York",Nassau,5147,4.00
36059415402,"Census Tract 4154.02, Nassau County, New York",Nassau,4359,2.90
36059415500,"Census Tract 4155, Nassau County, New York",Nassau,2409,0.60
36059415600,"Census Tract 4156, Nassau County, New York",Nassau,5424,3.00
36059415700,"Census Tract 4157, Nassau County, New York",Nassau,5961,4.90
36059415802,"Census Tract 4158.02, Nassau County, New York",Nassau,6110,2.40
36059416000,"Census Tract 4160, Nassau County, New York",Nassau,4209,1.50
36059416100,"Census Tract 4161, Nassau County, New York",Nassau,6203,1.50
36059416201,"Census Tract 4162.01, Nassau County, New York",Nassau,3588,6.00
36059416202,"Census Tract 4162.02, Nassau County, New York",Nassau,4673,4.80
36059416300,"Census Tract 4163, Nassau County, New York",Nassau,3208,0.60
36059416401,"Census Tract 4164.01, Nassau County, New York",Nassau,4463,3.80
36059416402,"Census Tract 4164.02, Nassau County, New York",Nassau,2230,0.50
36059416500,"Census Tract 4165, Nassau County, New York",Nassau,6044,6.00
36059416600,"Census Tract 4166, Nassau County, New York",Nassau,5222,5.40
36059416701,"Census Tract 4167.01, Nassau County, New York",Nassau,4437,6.10
36059416702,"Census Tract 4167.02, Nassau County, New York",Nassau,3997,7.10
36059416801,"Census Tract 4168.01, Nassau County, New York",Nassau,2139,6.10
36059416802,"Census Tract 4168.02, Nassau County, New York",Nassau,3881,6.60
36059416900,"Census Tract 4169, Nassau County, New York",Nassau,4024,5.90
36059517000,"Census Tract 5170, Nassau County, New York",Nassau,3404,7.30
36059517101,"Census Tract 5171.01, Nassau County, New York",Nassau,5121,7.70
36059517102,"Census Tract 5171.02, Nassau County, New York",Nassau,2316,2.00
36059517201,"Census Tract 5172.01, Nassau County, New York",Nassau,3457,29.20
36059517202,"Census Tract 5172.02, Nassau County, New York",Nassau,3414,28.40
36059517301,"Census Tract 5173.01, Nassau County, New York",Nassau,3509,6.60
36059517302,"Census Tract 5173.02, Nassau County, New York",Nassau,5346,9.80
36059517400,"Census Tract 5174, Nassau County, New York",Nassau,4978,3.60
36059517500,"Census Tract 5175, Nassau County, New York",Nassau,3783,4.20
36059517600,"Census Tract 5176, Nassau County, New York",Nassau,4827,3.60
36059517701,"Census Tract 5177.01, Nassau County, New York",Nassau,7483,2.40
36059517705,"Census Tract 5177.05, Nassau County, New York",Nassau,3051,2.00
36059517801,"Census Tract 5178.01, Nassau County, New York",Nassau,3947,4.50
36059517802,"Census Tract 5178.02, Nassau County, New York",Nassau,3457,4.70
36059517901,"Census Tract 5179.01, Nassau County, New York",Nassau,4814,5.30
36059517902,"Census Tract 5179.02, Nassau County, New York",Nassau,2863,5.50
36059518000,"Census Tract 5180, Nassau County, New York",Nassau,6167,4.90
36059518100,"Census Tract 5181, Nassau County, New York",Nassau,2880,2.40
36059518201,"Census Tract 5182.01, Nassau County, New York",Nassau,4181,5.40
36059518203,"Census Tract 5182.03, Nassau County, New York",Nassau,3404,2.80
36059518204,"Census Tract 5182.04, Nassau County, New York",Nassau,4553,1.40
36059518300,"Census Tract 5183, Nassau County, New York",Nassau,6029,5.00
36059518400,"Census Tract 5184, Nassau County, New York",Nassau,4218,3.10
36059518501,"Census Tract 5185.01, Nassau County, New York",Nassau,6935,5.70
36059518502,"Census Tract 5185.02, Nassau County, New York",Nassau,2960,11.10
36059518600,"Census Tract 5186, Nassau County, New York",Nassau,4191,2.30
36059518700,"Census Tract 5187, Nassau County, New York",Nassau,5687,3.40
36059518800,"Census Tract 5188, Nassau County, New York",Nassau,3200,1.70
36059518900,"Census Tract 5189, Nassau County, New York",Nassau,7113,3.00
36059519000,"Census Tract 5190, Nassau County, New York",Nassau,6462,1.50
36059519100,"Census Tract 5191, Nassau County, New York",Nassau,5550,5.30
36059519200,"Census Tract 5192, Nassau County, New York",Nassau,6285,1.50
36059519300,"Census Tract 5193, Nassau County, New York",Nassau,6281,8.90
36059519400,"Census Tract 5194, Nassau County, New York",Nassau,4486,2.70
36059519500,"Census Tract 5195, Nassau County, New York",Nassau,6227,5.30
36059519601,"Census Tract 5196.01, Nassau County, New York",Nassau,4366,3.40
36059519602,"Census Tract 5196.02, Nassau County, New York",Nassau,1797,1.50
36059519702,"Census Tract 5197.02, Nassau County, New York",Nassau,5801,3.40
36059519703,"Census Tract 5197.03, Nassau County, New York",Nassau,3453,0.30
36059519704,"Census Tract 5197.04, Nassau County, New York",Nassau,3113,3.10
36059519801,"Census Tract 5198.01, Nassau County, New York",Nassau,2475,3.50
36059519802,"Census Tract 5198.02, Nassau County, New York",Nassau,5157,3.40
36059519900,"Census Tract 5199, Nassau County, New York",Nassau,5438,2.90
36059520001,"Census Tract 5200.01, Nassau County, New York",Nassau,7846,3.50
36059520002,"Census Tract 5200.02, Nassau County, New York",Nassau,4728,3.20
36059520100,"Census Tract 5201, Nassau County, New York",Nassau,5450,3.60
36059520200,"Census Tract 5202, Nassau County, New York",Nassau,3254,2.40
36059520300,"Census Tract 5203, Nassau County, New York",Nassau,5611,2.80
36059520401,"Census Tract 5204.01, Nassau County, New York",Nassau,4410,7.30
36059520402,"Census Tract 5204.02, Nassau County, New York",Nassau,4293,3.80
36059520501,"Census Tract 5205.01, Nassau County, New York",Nassau,3866,5.30
36059520502,"Census Tract 5205.02, Nassau County, New York",Nassau,5179,4.90
36059520600,"Census Tract 5206, Nassau County, New York",Nassau,5702,3.30
36059520700,"Census Tract 5207, Nassau County, New York",Nassau,4786,6.60
36059520800,"Census Tract 5208, Nassau County, New York",Nassau,4166,3.00
36059520900,"Census Tract 5209, Nassau County, New York",Nassau,4738,7.00
36059521000,"Census Tract 5210, Nassau County, New York",Nassau,4506,3.40
36059521100,"Census Tract 5211, Nassau County, New York",Nassau,4523,3.30
36059521200,"Census Tract 5212, Nassau County, New York",Nassau,2911,3.80
36059521301,"Census Tract 5213.01, Nassau County, New York",Nassau,2695,2.20
36059521302,"Census Tract 5213.02, Nassau County, New York",Nassau,5121,5.10
36059521400,"Census Tract 5214, Nassau County, New York",Nassau,6156,2.20
36059521500,"Census Tract 5215, Nassau County, New York",Nassau,5112,5.00
36059521601,"Census Tract 5216.01, Nassau County, New York",Nassau,4334,2.80
36059521602,"Census Tract 5216.02, Nassau County, New York",Nassau,3204,2.10
36059521700,"Census Tract 5217, Nassau County, New York",Nassau,4495,4.30
36059521801,"Census Tract 5218.01, Nassau County, New York",Nassau,3914,4.20
36059521802,"Census Tract 5218.02, Nassau County, New York",Nassau,3563,2.70
36059521902,"Census Tract 5219.02, Nassau County, New York",Nassau,4186,0.70
36059522000,"Census Tract 5220, Nassau County, New York",Nassau,6746,4.70
36059522700,"Census Tract 5227, Nassau County, New York",Nassau,4692,2.70
36059980100,"Census Tract 9801, Nassau County, New York",Nassau,0,-
36059981100,"Census Tract 9811, Nassau County, New York",Nassau,10,0.00
36059982100,"Census Tract 9821, Nassau County, New York",Nassau,21,0.00
36059990100,"Census Tract 9901, Nassau County, New York",Nassau,0,-
36059990200,"Census Tract 9902, Nassau County, New York",Nassau,0,-
36059990301,"Census Tract 9903.01, Nassau County, New York",Nassau,0,-
36059990302,"Census Tract 9903.02, Nassau County, New York",Nassau,0,-
36059990400,"Census Tract 9904, Nassau County, New York",Nassau,0,-
36103110101,"Census Tract 1101.01, Suffolk County, New York",Suffolk,3658,4.00
36103110103,"Census Tract 1101.03, Suffolk County, New York",Suffolk,2187,3.30
36103110104,"Census Tract 1101.04, Suffolk County, New York",Suffolk,2797,2.90
36103110200,"Census Tract 1102, Suffolk County, New York",Suffolk,5262,7.90
36103110300,"Census Tract 1103, Suffolk County, New York",Suffolk,4708,2.90
36103110401,"Census Tract 1104.01, Suffolk County, New York",Suffolk,2100,6.60
36103110402,"Census Tract 1104.02, Suffolk County, New York",Suffolk,3461,1.60
36103110501,"Census Tract 1105.01, Suffolk County, New York",Suffolk,3054,10.70
36103110502,"Census Tract 1105.02, Suffolk County, New York",Suffolk,2713,2.90
36103110601,"Census Tract 1106.01, Suffolk County, New York",Suffolk,4618,1.50
36103110602,"Census Tract 1106.02, Suffolk County, New York",Suffolk,2679,22.40
36103110801,"Census Tract 1108.01, Suffolk County, New York",Suffolk,1910,6.60
36103110803,"Census Tract 1108.03, Suffolk County, New York",Suffolk,5812,2.50
36103110901,"Census Tract 1109.01, Suffolk County, New York",Suffolk,2762,10.80
36103110902,"Census Tract 1109.02, Suffolk County, New York",Suffolk,4251,11.10
36103111001,"Census Tract 1110.01, Suffolk County, New York",Suffolk,2178,4.30
36103111002,"Census Tract 1110.02, Suffolk County, New York",Suffolk,4659,7.70
36103111101,"Census Tract 1111.01, Suffolk County, New York",Suffolk,2715,1.20
36103111102,"Census Tract 1111.02, Suffolk County, New York",Suffolk,2617,29.50
36103111103,"Census Tract 1111.03, Suffolk County, New York",Suffolk,3391,28.40
36103111201,"Census Tract 1112.01, Suffolk County, New York",Suffolk,3162,8.90
36103111202,"Census Tract 1112.02, Suffolk County, New York",Suffolk,5671,5.70
36103111300,"Census Tract 1113, Suffolk County, New York",Suffolk,4337,5.30
36103111401,"Census Tract 1114.01, Suffolk County, New York",Suffolk,1439,1.90
36103111402,"Census Tract 1114.02, Suffolk County, New York",Suffolk,5257,1.90
36103111503,"Census Tract 1115.03, Suffolk County, New York",Suffolk,4794,7.60
36103111504,"Census Tract 1115.04, Suffolk County, New York",Suffolk,1911,2.30
36103111506,"Census Tract 1115.06, Suffolk County, New York",Suffolk,2972,6.10
36103111507,"Census Tract 1115.07, Suffolk County, New York",Suffolk,2725,2.70
36103111508,"Census Tract 1115.08, Suffolk County, New York",Suffolk,4168,4.60
36103111601,"Census Tract 1116.01, Suffolk County, New York",Suffolk,3950,3.10
36103111602,"Census Tract 1116.02, Suffolk County, New York",Suffolk,2788,4.50
36103111701,"Census Tract 1117.01, Suffolk County, New York",Suffolk,5788,4.10
36103111703,"Census Tract 1117.03, Suffolk County, New York",Suffolk,3051,9.90
36103111704,"Census Tract 1117.04, Suffolk County, New York",Suffolk,3740,1.50
36103111801,"Census Tract 1118.01, Suffolk County, New York",Suffolk,6566,2.10
36103111802,"Census Tract 1118.02, Suffolk County, New York",Suffolk,2677,2.60
36103111803,"Census Tract 1118.03, Suffolk County, New York",Suffolk,2857,2.10
36103111804,"Census Tract 1118.04, Suffolk County, New York",Suffolk,2318,3.90
36103111900,"Census Tract 1119, Suffolk County, New York",Suffolk,5214,3.90
36103112001,"Census Tract 1120.01, Suffolk County, New York",Suffolk,4735,4.20
36103112002,"Census Tract 1120.02, Suffolk County, New York",Suffolk,5248,7.70
36103112102,"Census Tract 1121.02, Suffolk County, New York",Suffolk,3365,1.30
36103112103,"Census Tract 1121.03, Suffolk County, New York",Suffolk,4590,3.40
36103112104,"Census Tract 1121.04, Suffolk County, New York",Suffolk,1995,3.50
36103112204,"Census Tract 1122.04, Suffolk County, New York",Suffolk,3829,6.00
36103112211,"Census Tract 1122.11, Suffolk County, New York",Suffolk,3950,3.50
36103112212,"Census Tract 1122.12, Suffolk County, New York",Suffolk,3344,2.10
36103112213,"Census Tract 1122.13, Suffolk County, New York",Suffolk,4754,10.00
36103112215,"Census Tract 1122.15, Suffolk County, New York",Suffolk,2609,6.00
36103112216,"Census Tract 1122.16, Suffolk County, New York",Suffolk,3908,4.60
36103112217,"Census Tract 1122.17, Suffolk County, New York",Suffolk,2438,0.00
36103112218,"Census Tract 1122.18, Suffolk County, New York",Suffolk,4977,3.20
36103112219,"Census Tract 1122.19, Suffolk County, New York",Suffolk,2788,2.80
36103112220,"Census Tract 1122.20, Suffolk County, New York",Suffolk,3519,0.50
36103122300,"Census Tract 1223, Suffolk County, New York",Suffolk,3559,4.50
36103122405,"Census Tract 1224.05, Suffolk County, New York",Suffolk,3390,2.10
36103122406,"Census Tract 1224.06, Suffolk County, New York",Suffolk,5427,12.30
36103122407,"Census Tract 1224.07, Suffolk County, New York",Suffolk,1758,4.30
36103122408,"Census Tract 1224.08, Suffolk County, New York",Suffolk,3680,2.80
36103122501,"Census Tract 1225.01, Suffolk County, New York",Suffolk,5429,27.60
36103122502,"Census Tract 1225.02, Suffolk County, New York",Suffolk,4643,2.90
36103122602,"Census Tract 1226.02, Suffolk County, New York",Suffolk,4220,5.90
36103122603,"Census Tract 1226.03, Suffolk County, New York",Suffolk,5586,6.00
36103122604,"Census Tract 1226.04, Suffolk County, New York",Suffolk,3774,3.70
36103122605,"Census Tract 1226.05, Suffolk County, New York",Suffolk,2137,2.40
36103122704,"Census Tract 1227.04, Suffolk County, New York",Suffolk,2492,3.90
36103122705,"Census Tract 1227.05, Suffolk County, New York",Suffolk,3034,1.50
36103122706,"Census Tract 1227.06, Suffolk County, New York",Suffolk,3633,14.50
36103122707,"Census Tract 1227.07, Suffolk County, New York",Suffolk,2768,0.50
36103122801,"Census Tract 1228.01, Suffolk County, New York",Suffolk,4577,18.60
36103122802,"Census Tract 1228.02, Suffolk County, New York",Suffolk,4824,3.60
36103122901,"Census Tract 1229.01, Suffolk County, New York",Suffolk,6363,3.70
36103122902,"Census Tract 1229.02, Suffolk County, New York",Suffolk,4122,4.20
36103123001,"Census Tract 1230.01, Suffolk County, New York",Suffolk,5742,5.50
36103123002,"Census Tract 1230.02, Suffolk County, New York",Suffolk,4475,7.20
36103123101,"Census Tract 1231.01, Suffolk County, New York",Suffolk,3393,6.30
36103123102,"Census Tract 1231.02, Suffolk County, New York",Suffolk,4028,4.30
36103123201,"Census Tract 1232.01, Suffolk County, New York",Suffolk,2051,6.30
36103123203,"Census Tract 1232.03, Suffolk County, New York",Suffolk,2952,14.40
36103123204,"Census Tract 1232.04, Suffolk County, New York",Suffolk,5805,11.80
36103123303,"Census Tract 1233.03, Suffolk County, New York",Suffolk,5002,5.00
36103123304,"Census Tract 1233.04, Suffolk County, New York",Suffolk,5208,5.70
36103123401,"Census Tract 1234.01, Suffolk County, New York",Suffolk,3641,8.40
36103123403,"Census Tract 1234.03, Suffolk County, New York",Suffolk,1507,2.50
36103123404,"Census Tract 1234.04, Suffolk County, New York",Suffolk,5459,6.40
36103123500,"Census Tract 1235, Suffolk County, New York",Suffolk,5923,7.50
36103123600,"Census Tract 1236, Suffolk County, New York",Suffolk,3037,5.40
36103123701,"Census Tract 1237.01, Suffolk County, New York",Suffolk,7339,7.20
36103123703,"Census Tract 1237.03, Suffolk County, New York",Suffolk,3309,7.20
36103123704,"Census Tract 1237.04, Suffolk County, New York",Suffolk,4392,27.60
36103123801,"Census Tract 1238.01, Suffolk County, New York",Suffolk,4120,3.70
36103123802,"Census Tract 1238.02, Suffolk County, New York",Suffolk,3516,12.30
36103123900,"Census Tract 1239, Suffolk County, New York",Suffolk,5451,10.00
36103124001,"Census Tract 1240.01, Suffolk County, New York",Suffolk,4522,6.40
36103124002,"Census Tract 1240.02, Suffolk County, New York",Suffolk,3376,2.50
36103124101,"Census Tract 1241.01, Suffolk County, New York",Suffolk,4304,3.60
36103124102,"Census Tract 1241.02, Suffolk County, New York",Suffolk,3591,8.20
36103124200,"Census Tract 1242, Suffolk County, New York",Suffolk,5508,4.50
36103124301,"Census Tract 1243.01, Suffolk County, New York",Suffolk,1918,2.20
36103124302,"Census Tract 1243.02, Suffolk County, New York",Suffolk,4362,9.60
36103124401,"Census Tract 1244.01, Suffolk County, New York",Suffolk,3138,9.80
36103124402,"Census Tract 1244.02, Suffolk County, New York",Suffolk,3727,2.00
36103124500,"Census Tract 1245, Suffolk County, New York",Suffolk,5162,3.80
36103124601,"Census Tract 1246.01, Suffolk County, New York",Suffolk,2596,1.60
36103124602,"Census Tract 1246.02, Suffolk County, New York",Suffolk,4253,3.90
36103134702,"Census Tract 1347.02, Suffolk County, New York",Suffolk,5525,0.90
36103134703,"Census Tract 1347.03, Suffolk County, New York",Suffolk,3947,1.50
36103134704,"Census Tract 1347.04, Suffolk County, New York",Suffolk,2559,4.40
36103134902,"Census Tract 1349.02, Suffolk County, New York",Suffolk,4560,0.60
36103134906,"Census Tract 1349.06, Suffolk County, New York",Suffolk,5465,6.00
36103134907,"Census Tract 1349.07, Suffolk County, New York",Suffolk,3623,4.30
36103134908,"Census Tract 1349.08, Suffolk County, New York",Suffolk,3127,3.20
36103134909,"Census Tract 1349.09, Suffolk County, New York",Suffolk,4431,2.00
36103135002,"Census Tract 1350.02, Suffolk County, New York",Suffolk,5416,1.10
36103135003,"Census Tract 1350.03, Suffolk County, New York",Suffolk,4895,2.80
36103135004,"Census Tract 1350.04, Suffolk County, New York",Suffolk,3048,4.30
36103135005,"Census Tract 1350.05, Suffolk County, New York",Suffolk,2801,3.10
36103135101,"Census Tract 1351.01, Suffolk County, New York",Suffolk,4028,2.00
36103135102,"Census Tract 1351.02, Suffolk County, New York",Suffolk,4907,1.80
36103135103,"Census Tract 1351.03, Suffolk County, New York",Suffolk,4763,1.40
36103135104,"Census Tract 1351.04, Suffolk County, New York",Suffolk,5262,1.90
36103135201,"Census Tract 1352.01, Suffolk County, New York",Suffolk,1804,2.40
36103135205,"Census Tract 1352.05, Suffolk County, New York",Suffolk,4917,0.70
36103135208,"Census Tract 1352.08, Suffolk County, New York",Suffolk,2972,1.00
36103135209,"Census Tract 1352.09, Suffolk County, New York",Suffolk,3450,6.80
36103135303,"Census Tract 1353.03, Suffolk County, New York",Suffolk,3963,1.90
36103135305,"Census Tract 1353.05, Suffolk County, New York",Suffolk,1629,3.10
36103135306,"Census Tract 1353.06, Suffolk County, New York",Suffolk,4922,2.80
